251 	 Q0 	    FT941-13190 	    1 	 0.140600 	 gmu96ma2 
273 	 Q0 	  ZF207-882-338 	  342 	 0.066500 	 gmu96ma2 
273 	 Q0 	  AP880326-0041 	  343 	 0.065300 	 gmu96ma2 
273 	 Q0 	  AP880627-0189 	  344 	 0.065000 	 gmu96ma2 
273 	 Q0 	  ZF207-799-744 	  345 	 0.064900 	 gmu96ma2 
273 	 Q0 	  ZF207-799-018 	  346 	 0.064900 	 gmu96ma2 
273 	 Q0 	  AP880326-0069 	  347 	 0.064800 	 gmu96ma2 
273 	 Q0 	  ZF207-865-320 	  348 	 0.064800 	 gmu96ma2 
273 	 Q0 	     CR93E-8100 	  349 	 0.064700 	 gmu96ma2 
273 	 Q0 	  AP880626-0051 	  350 	 0.064600 	 gmu96ma2 
273 	 Q0 	     FT924-2139 	  351 	 0.064200 	 gmu96ma2 
273 	 Q0 	  AP880826-0139 	  352 	 0.064100 	 gmu96ma2 
273 	 Q0 	  ZF207-798-834 	  353 	 0.063300 	 gmu96ma2 
273 	 Q0 	     CR93H-3645 	  354 	 0.063300 	 gmu96ma2 
273 	 Q0 	    FT922-11168 	  355 	 0.063200 	 gmu96ma2 
273 	 Q0 	  AP880526-0136 	  356 	 0.063000 	 gmu96ma2 
273 	 Q0 	  ZF207-375-458 	  357 	 0.062800 	 gmu96ma2 
273 	 Q0 	  ZF207-799-030 	  358 	 0.062400 	 gmu96ma2 
273 	 Q0 	 WSJ910705-0172 	  359 	 0.062300 	 gmu96ma2 
273 	 Q0 	  AP880821-0062 	  360 	 0.062200 	 gmu96ma2 
273 	 Q0 	  AP880519-0177 	  361 	 0.061600 	 gmu96ma2 
273 	 Q0 	  AP880704-0105 	  362 	 0.061500 	 gmu96ma2 
273 	 Q0 	  AP881020-0126 	  363 	 0.061500 	 gmu96ma2 
273 	 Q0 	    FT934-16603 	  364 	 0.061500 	 gmu96ma2 
273 	 Q0 	  AP880823-0059 	  365 	 0.060800 	 gmu96ma2 
273 	 Q0 	  ZF207-834-858 	  366 	 0.060800 	 gmu96ma2 
273 	 Q0 	  AP880611-0088 	  367 	 0.060800 	 gmu96ma2 
273 	 Q0 	     FT924-2284 	  368 	 0.060700 	 gmu96ma2 
273 	 Q0 	    FT944-17443 	  369 	 0.060500 	 gmu96ma2 
273 	 Q0 	    FT941-10842 	  370 	 0.060400 	 gmu96ma2 
273 	 Q0 	  AP881219-0004 	  371 	 0.060000 	 gmu96ma2 
273 	 Q0 	  ZF207-799-016 	  372 	 0.059600 	 gmu96ma2 
273 	 Q0 	  AP880620-0057 	  373 	 0.059400 	 gmu96ma2 
273 	 Q0 	  AP881103-0045 	  374 	 0.059000 	 gmu96ma2 
273 	 Q0 	      FT942-508 	  375 	 0.058800 	 gmu96ma2 
273 	 Q0 	  AP881206-0036 	  376 	 0.058500 	 gmu96ma2 
273 	 Q0 	  AP881208-0044 	  377 	 0.058400 	 gmu96ma2 
273 	 Q0 	      FT941-867 	  378 	 0.058300 	 gmu96ma2 
273 	 Q0 	  AP881208-0041 	  379 	 0.058300 	 gmu96ma2 
273 	 Q0 	      FT942-787 	  380 	 0.058200 	 gmu96ma2 
273 	 Q0 	    FT924-12119 	  381 	 0.058200 	 gmu96ma2 
273 	 Q0 	     FT921-3323 	  382 	 0.058000 	 gmu96ma2 
273 	 Q0 	 WSJ910225-0138 	  383 	 0.057900 	 gmu96ma2 
273 	 Q0 	  AP881110-0070 	  384 	 0.057800 	 gmu96ma2 
273 	 Q0 	  AP881203-0032 	  385 	 0.057400 	 gmu96ma2 
273 	 Q0 	  AP880323-0057 	  386 	 0.057300 	 gmu96ma2 
273 	 Q0 	  AP881212-0165 	  387 	 0.057100 	 gmu96ma2 
273 	 Q0 	  ZF207-927-304 	  388 	 0.057000 	 gmu96ma2 
273 	 Q0 	    FT941-15056 	  389 	 0.057000 	 gmu96ma2 
273 	 Q0 	    FT941-13791 	  390 	 0.057000 	 gmu96ma2 
273 	 Q0 	  AP881207-0209 	  391 	 0.056500 	 gmu96ma2 
273 	 Q0 	  ZF207-799-022 	  392 	 0.056300 	 gmu96ma2 
273 	 Q0 	  AP880821-0008 	  393 	 0.056300 	 gmu96ma2 
273 	 Q0 	     FT942-5286 	  394 	 0.056100 	 gmu96ma2 
273 	 Q0 	    FT934-14993 	  395 	 0.056100 	 gmu96ma2 
273 	 Q0 	    FT933-14808 	  396 	 0.055900 	 gmu96ma2 
273 	 Q0 	    FT942-13856 	  397 	 0.055800 	 gmu96ma2 
273 	 Q0 	  ZF207-801-124 	  398 	 0.055200 	 gmu96ma2 
273 	 Q0 	 WSJ910131-0119 	  399 	 0.055100 	 gmu96ma2 
273 	 Q0 	  AP880220-0050 	  400 	 0.054700 	 gmu96ma2 
273 	 Q0 	      FT924-348 	  401 	 0.054400 	 gmu96ma2 
273 	 Q0 	 WSJ911001-0091 	  402 	 0.054100 	 gmu96ma2 
273 	 Q0 	  AP880824-0050 	  403 	 0.054100 	 gmu96ma2 
273 	 Q0 	  AP881217-0111 	  404 	 0.053900 	 gmu96ma2 
273 	 Q0 	    CR93E-10297 	  405 	 0.053900 	 gmu96ma2 
273 	 Q0 	  AP880627-0130 	  406 	 0.053500 	 gmu96ma2 
273 	 Q0 	  AP881211-0049 	  407 	 0.053500 	 gmu96ma2 
273 	 Q0 	  ZF207-789-126 	  408 	 0.053200 	 gmu96ma2 
273 	 Q0 	  AP881220-0117 	  409 	 0.053100 	 gmu96ma2 
273 	 Q0 	     CR93H-1141 	  410 	 0.053100 	 gmu96ma2 
273 	 Q0 	  AP881126-0027 	  411 	 0.052600 	 gmu96ma2 
273 	 Q0 	   FR88601-0145 	  412 	 0.052600 	 gmu96ma2 
273 	 Q0 	    FT942-13845 	  413 	 0.052300 	 gmu96ma2 
273 	 Q0 	  AP881223-0158 	  414 	 0.052100 	 gmu96ma2 
273 	 Q0 	  AP881226-0112 	  415 	 0.051500 	 gmu96ma2 
273 	 Q0 	  ZF207-784-280 	  416 	 0.051200 	 gmu96ma2 
273 	 Q0 	     CR93E-1852 	  417 	 0.051100 	 gmu96ma2 
273 	 Q0 	  AP881213-0076 	  418 	 0.051000 	 gmu96ma2 
273 	 Q0 	     CR93H-1150 	  419 	 0.050800 	 gmu96ma2 
273 	 Q0 	     FT941-1866 	  420 	 0.050700 	 gmu96ma2 
273 	 Q0 	     CR93E-4944 	  421 	 0.050700 	 gmu96ma2 
273 	 Q0 	    FT922-11721 	  422 	 0.050700 	 gmu96ma2 
273 	 Q0 	  ZF207-864-736 	  423 	 0.050600 	 gmu96ma2 
273 	 Q0 	  AP881214-0055 	  424 	 0.049900 	 gmu96ma2 
273 	 Q0 	     CR93E-8400 	  425 	 0.049800 	 gmu96ma2 
273 	 Q0 	  AP880812-0169 	  426 	 0.049600 	 gmu96ma2 
273 	 Q0 	    FT941-10332 	  427 	 0.049500 	 gmu96ma2 
273 	 Q0 	    FT941-14490 	  428 	 0.049400 	 gmu96ma2 
273 	 Q0 	  AP881211-0036 	  429 	 0.049200 	 gmu96ma2 
273 	 Q0 	 WSJ910621-0081 	  430 	 0.049200 	 gmu96ma2 
273 	 Q0 	  ZF207-793-146 	  431 	 0.049200 	 gmu96ma2 
273 	 Q0 	     FT933-4830 	  432 	 0.048900 	 gmu96ma2 
273 	 Q0 	  AP880826-0106 	  433 	 0.048900 	 gmu96ma2 
273 	 Q0 	  ZF207-834-242 	  434 	 0.048500 	 gmu96ma2 
273 	 Q0 	    FT941-13837 	  435 	 0.048400 	 gmu96ma2 
273 	 Q0 	     FT943-7649 	  436 	 0.048400 	 gmu96ma2 
273 	 Q0 	  AP881224-0029 	  437 	 0.048400 	 gmu96ma2 
273 	 Q0 	  ZF207-930-282 	  438 	 0.048000 	 gmu96ma2 
273 	 Q0 	     FT941-8888 	  439 	 0.047700 	 gmu96ma2 
273 	 Q0 	    FT944-12769 	  440 	 0.047700 	 gmu96ma2 
273 	 Q0 	    FT933-14332 	  441 	 0.047700 	 gmu96ma2 
273 	 Q0 	  AP881125-0171 	  442 	 0.047500 	 gmu96ma2 
273 	 Q0 	  AP881220-0168 	  443 	 0.047300 	 gmu96ma2 
273 	 Q0 	  AP881130-0105 	  444 	 0.046700 	 gmu96ma2 
273 	 Q0 	  ZF207-858-904 	  445 	 0.046700 	 gmu96ma2 
273 	 Q0 	  AP881216-0102 	  446 	 0.046400 	 gmu96ma2 
273 	 Q0 	    FT941-15065 	  447 	 0.046300 	 gmu96ma2 
273 	 Q0 	  AP881031-0026 	  448 	 0.045900 	 gmu96ma2 
273 	 Q0 	     CR93E-1394 	  449 	 0.045500 	 gmu96ma2 
273 	 Q0 	 WSJ900605-0119 	  450 	 0.045500 	 gmu96ma2 
273 	 Q0 	 WSJ900416-0075 	  451 	 0.045400 	 gmu96ma2 
273 	 Q0 	  AP880530-0001 	  452 	 0.045300 	 gmu96ma2 
273 	 Q0 	  AP881217-0090 	  453 	 0.045300 	 gmu96ma2 
273 	 Q0 	  AP880604-0132 	  454 	 0.045200 	 gmu96ma2 
273 	 Q0 	  AP881221-0175 	  455 	 0.045100 	 gmu96ma2 
273 	 Q0 	  ZF207-853-578 	  456 	 0.045000 	 gmu96ma2 
273 	 Q0 	    FT924-14886 	  457 	 0.044800 	 gmu96ma2 
273 	 Q0 	  ZF207-931-178 	  458 	 0.044700 	 gmu96ma2 
273 	 Q0 	    FT941-14435 	  459 	 0.044500 	 gmu96ma2 
273 	 Q0 	 WSJ910212-0114 	  460 	 0.044400 	 gmu96ma2 
273 	 Q0 	  ZF207-900-634 	  461 	 0.044300 	 gmu96ma2 
273 	 Q0 	 WSJ910912-0132 	  462 	 0.044200 	 gmu96ma2 
273 	 Q0 	    FT941-14782 	  463 	 0.044100 	 gmu96ma2 
273 	 Q0 	     CR93E-3866 	  464 	 0.044100 	 gmu96ma2 
273 	 Q0 	  ZF208-219-279 	  465 	 0.044100 	 gmu96ma2 
273 	 Q0 	  AP881215-0147 	  466 	 0.043800 	 gmu96ma2 
273 	 Q0 	  AP881109-0115 	  467 	 0.043700 	 gmu96ma2 
273 	 Q0 	  AP881212-0208 	  468 	 0.043700 	 gmu96ma2 
273 	 Q0 	    FT933-14576 	  469 	 0.043700 	 gmu96ma2 
273 	 Q0 	  ZF208-231-102 	  470 	 0.043600 	 gmu96ma2 
273 	 Q0 	  ZF207-911-462 	  471 	 0.043500 	 gmu96ma2 
273 	 Q0 	    FT922-12517 	  472 	 0.043400 	 gmu96ma2 
273 	 Q0 	     FT921-2935 	  473 	 0.043400 	 gmu96ma2 
273 	 Q0 	  AP881214-0167 	  474 	 0.043400 	 gmu96ma2 
273 	 Q0 	  AP880825-0147 	  475 	 0.043100 	 gmu96ma2 
273 	 Q0 	  ZF207-949-988 	  476 	 0.042900 	 gmu96ma2 
273 	 Q0 	  ZF207-800-454 	  477 	 0.042900 	 gmu96ma2 
273 	 Q0 	  AP881209-0060 	  478 	 0.042900 	 gmu96ma2 
273 	 Q0 	 WSJ920204-0097 	  479 	 0.042800 	 gmu96ma2 
273 	 Q0 	  AP881209-0065 	  480 	 0.042700 	 gmu96ma2 
273 	 Q0 	  AP881211-0057 	  481 	 0.042500 	 gmu96ma2 
273 	 Q0 	  AP881210-0076 	  482 	 0.042500 	 gmu96ma2 
273 	 Q0 	 WSJ911023-0094 	  483 	 0.042100 	 gmu96ma2 
273 	 Q0 	     FT924-7791 	  484 	 0.042000 	 gmu96ma2 
273 	 Q0 	  AP881208-0238 	  485 	 0.041900 	 gmu96ma2 
273 	 Q0 	  AP881208-0193 	  486 	 0.041800 	 gmu96ma2 
273 	 Q0 	  AP881212-0100 	  487 	 0.041800 	 gmu96ma2 
273 	 Q0 	    FT942-15961 	  488 	 0.041800 	 gmu96ma2 
273 	 Q0 	  AP881213-0169 	  489 	 0.041600 	 gmu96ma2 
273 	 Q0 	  AP880817-0026 	  490 	 0.041400 	 gmu96ma2 
273 	 Q0 	    FT924-13949 	  491 	 0.041300 	 gmu96ma2 
273 	 Q0 	  ZF207-846-662 	  492 	 0.041200 	 gmu96ma2 
273 	 Q0 	  AP881128-0250 	  493 	 0.041100 	 gmu96ma2 
273 	 Q0 	    FT931-14631 	  494 	 0.041000 	 gmu96ma2 
273 	 Q0 	      FT944-184 	  495 	 0.041000 	 gmu96ma2 
273 	 Q0 	  AP881213-0035 	  496 	 0.040800 	 gmu96ma2 
273 	 Q0 	  AP881226-0126 	  497 	 0.040700 	 gmu96ma2 
273 	 Q0 	  AP880912-0156 	  498 	 0.040700 	 gmu96ma2 
273 	 Q0 	    FT942-12380 	  499 	 0.040600 	 gmu96ma2 
273 	 Q0 	 WSJ920302-0008 	  500 	 0.040600 	 gmu96ma2 
273 	 Q0 	    FT943-16789 	  501 	 0.040300 	 gmu96ma2 
273 	 Q0 	  ZF207-784-286 	  502 	 0.040300 	 gmu96ma2 
273 	 Q0 	  ZF207-820-422 	  503 	 0.040100 	 gmu96ma2 
273 	 Q0 	  ZF207-869-318 	  504 	 0.039800 	 gmu96ma2 
273 	 Q0 	  AP880823-0105 	  505 	 0.039800 	 gmu96ma2 
273 	 Q0 	  AP881211-0033 	  506 	 0.039700 	 gmu96ma2 
273 	 Q0 	  ZF208-084-238 	  507 	 0.039700 	 gmu96ma2 
273 	 Q0 	    FT924-13956 	  508 	 0.039600 	 gmu96ma2 
273 	 Q0 	    FT944-18218 	  509 	 0.039600 	 gmu96ma2 
273 	 Q0 	      FT943-600 	  510 	 0.039500 	 gmu96ma2 
273 	 Q0 	  ZF207-857-618 	  511 	 0.039500 	 gmu96ma2 
273 	 Q0 	  AP880512-0047 	  512 	 0.039400 	 gmu96ma2 
273 	 Q0 	  AP881212-0081 	  513 	 0.039400 	 gmu96ma2 
273 	 Q0 	     CR93E-7326 	  514 	 0.039200 	 gmu96ma2 
273 	 Q0 	  AP881231-0110 	  515 	 0.039200 	 gmu96ma2 
273 	 Q0 	  AP881118-0071 	  516 	 0.039100 	 gmu96ma2 
273 	 Q0 	  ZF207-863-394 	  517 	 0.039000 	 gmu96ma2 
273 	 Q0 	 WSJ901231-0124 	  518 	 0.039000 	 gmu96ma2 
273 	 Q0 	  AP880602-0114 	  519 	 0.038900 	 gmu96ma2 
273 	 Q0 	     FT934-4856 	  520 	 0.038800 	 gmu96ma2 
273 	 Q0 	  AP880222-0055 	  521 	 0.038800 	 gmu96ma2 
273 	 Q0 	  AP881208-0075 	  522 	 0.038600 	 gmu96ma2 
273 	 Q0 	  ZF208-219-387 	  523 	 0.038400 	 gmu96ma2 
273 	 Q0 	    FT934-17468 	  524 	 0.038000 	 gmu96ma2 
273 	 Q0 	     CR93H-1136 	  525 	 0.037900 	 gmu96ma2 
273 	 Q0 	  ZF207-827-764 	  526 	 0.037700 	 gmu96ma2 
273 	 Q0 	  AP881213-0067 	  527 	 0.037600 	 gmu96ma2 
273 	 Q0 	  AP881217-0033 	  528 	 0.037400 	 gmu96ma2 
273 	 Q0 	     FT941-2180 	  529 	 0.037200 	 gmu96ma2 
273 	 Q0 	  AP880615-0001 	  530 	 0.037000 	 gmu96ma2 
273 	 Q0 	  AP881218-0049 	  531 	 0.037000 	 gmu96ma2 
273 	 Q0 	     CR93H-7228 	  532 	 0.037000 	 gmu96ma2 
273 	 Q0 	    FT943-14578 	  533 	 0.037000 	 gmu96ma2 
273 	 Q0 	    FT944-17842 	  534 	 0.036900 	 gmu96ma2 
273 	 Q0 	   FR88125-0023 	  535 	 0.036600 	 gmu96ma2 
273 	 Q0 	  ZF207-865-076 	  536 	 0.036500 	 gmu96ma2 
273 	 Q0 	  AP881209-0105 	  537 	 0.036500 	 gmu96ma2 
273 	 Q0 	  AP880425-0136 	  538 	 0.036300 	 gmu96ma2 
273 	 Q0 	  AP880824-0139 	  539 	 0.036200 	 gmu96ma2 
273 	 Q0 	     FT933-2384 	  540 	 0.036200 	 gmu96ma2 
273 	 Q0 	  AP881214-0146 	  541 	 0.036100 	 gmu96ma2 
273 	 Q0 	  AP881229-0006 	  542 	 0.036100 	 gmu96ma2 
273 	 Q0 	  AP881227-0176 	  543 	 0.036100 	 gmu96ma2 
273 	 Q0 	     FT944-9657 	  544 	 0.036000 	 gmu96ma2 
273 	 Q0 	    FT941-13430 	  545 	 0.036000 	 gmu96ma2 
273 	 Q0 	    FT941-14455 	  546 	 0.036000 	 gmu96ma2 
273 	 Q0 	    FT922-14119 	  547 	 0.035800 	 gmu96ma2 
273 	 Q0 	  AP881209-0045 	  548 	 0.035600 	 gmu96ma2 
273 	 Q0 	  AP881209-0178 	  549 	 0.035200 	 gmu96ma2 
273 	 Q0 	  AP880831-0043 	  550 	 0.035200 	 gmu96ma2 
273 	 Q0 	  ZF207-853-390 	  551 	 0.034900 	 gmu96ma2 
273 	 Q0 	  ZF207-247-914 	  552 	 0.034900 	 gmu96ma2 
273 	 Q0 	      CR93E-541 	  553 	 0.034800 	 gmu96ma2 
273 	 Q0 	  AP880822-0075 	  554 	 0.034700 	 gmu96ma2 
273 	 Q0 	    FT941-14780 	  555 	 0.034600 	 gmu96ma2 
273 	 Q0 	  AP881216-0222 	  556 	 0.034500 	 gmu96ma2 
273 	 Q0 	  ZF207-859-834 	  557 	 0.034400 	 gmu96ma2 
273 	 Q0 	  AP881223-0052 	  558 	 0.034200 	 gmu96ma2 
273 	 Q0 	  AP881021-0050 	  559 	 0.034000 	 gmu96ma2 
273 	 Q0 	  AP880913-0224 	  560 	 0.033900 	 gmu96ma2 
273 	 Q0 	 WSJ910628-0042 	  561 	 0.033900 	 gmu96ma2 
273 	 Q0 	  AP880513-0168 	  562 	 0.033900 	 gmu96ma2 
273 	 Q0 	  AP880930-0004 	  563 	 0.033900 	 gmu96ma2 
273 	 Q0 	  AP880919-0009 	  564 	 0.033900 	 gmu96ma2 
273 	 Q0 	    FT941-14283 	  565 	 0.033800 	 gmu96ma2 
273 	 Q0 	    FT924-12877 	  566 	 0.033800 	 gmu96ma2 
273 	 Q0 	  ZF207-722-564 	  567 	 0.033800 	 gmu96ma2 
273 	 Q0 	  AP881224-0061 	  568 	 0.033700 	 gmu96ma2 
273 	 Q0 	  ZF207-162-128 	  569 	 0.033700 	 gmu96ma2 
273 	 Q0 	  AP881224-0005 	  570 	 0.033600 	 gmu96ma2 
273 	 Q0 	     FT944-3262 	  571 	 0.033600 	 gmu96ma2 
273 	 Q0 	  AP881214-0069 	  572 	 0.033500 	 gmu96ma2 
273 	 Q0 	  AP880816-0208 	  573 	 0.033500 	 gmu96ma2 
273 	 Q0 	  AP880406-0012 	  574 	 0.033500 	 gmu96ma2 
273 	 Q0 	    FT942-14093 	  575 	 0.033500 	 gmu96ma2 
273 	 Q0 	  AP881108-0114 	  576 	 0.033500 	 gmu96ma2 
273 	 Q0 	  AP881211-0055 	  577 	 0.033500 	 gmu96ma2 
273 	 Q0 	     FT941-9254 	  578 	 0.033400 	 gmu96ma2 
273 	 Q0 	    FT941-13728 	  579 	 0.033400 	 gmu96ma2 
273 	 Q0 	    FT922-15099 	  580 	 0.033400 	 gmu96ma2 
273 	 Q0 	    FT941-14279 	  581 	 0.033400 	 gmu96ma2 
273 	 Q0 	  AP880908-0071 	  582 	 0.033300 	 gmu96ma2 
273 	 Q0 	    FT942-13750 	  583 	 0.033200 	 gmu96ma2 
273 	 Q0 	  ZF208-219-079 	  584 	 0.033100 	 gmu96ma2 
273 	 Q0 	  ZF208-219-631 	  585 	 0.033000 	 gmu96ma2 
273 	 Q0 	     CR93H-1142 	  586 	 0.032900 	 gmu96ma2 
273 	 Q0 	  AP881216-0223 	  587 	 0.032900 	 gmu96ma2 
273 	 Q0 	  AP881208-0223 	  588 	 0.032800 	 gmu96ma2 
273 	 Q0 	  ZF207-133-212 	  589 	 0.032700 	 gmu96ma2 
273 	 Q0 	     FT933-9365 	  590 	 0.032200 	 gmu96ma2 
273 	 Q0 	    FT944-18683 	  591 	 0.032000 	 gmu96ma2 
273 	 Q0 	  AP881227-0122 	  592 	 0.032000 	 gmu96ma2 
273 	 Q0 	 WSJ911022-0027 	  593 	 0.032000 	 gmu96ma2 
273 	 Q0 	  AP881213-0074 	  594 	 0.031600 	 gmu96ma2 
273 	 Q0 	   FR88225-0018 	  595 	 0.031600 	 gmu96ma2 
273 	 Q0 	     FT922-5507 	  596 	 0.031400 	 gmu96ma2 
273 	 Q0 	    FT944-12563 	  597 	 0.031300 	 gmu96ma2 
273 	 Q0 	  AP880511-0002 	  598 	 0.031200 	 gmu96ma2 
273 	 Q0 	  ZF207-938-998 	  599 	 0.031200 	 gmu96ma2 
273 	 Q0 	  ZF207-865-292 	  600 	 0.031200 	 gmu96ma2 
273 	 Q0 	  ZF207-840-994 	  601 	 0.031000 	 gmu96ma2 
273 	 Q0 	  ZF207-798-844 	  602 	 0.031000 	 gmu96ma2 
273 	 Q0 	  ZF207-885-820 	  603 	 0.031000 	 gmu96ma2 
273 	 Q0 	  AP881004-0132 	  604 	 0.030900 	 gmu96ma2 
273 	 Q0 	  AP880901-0175 	  605 	 0.030900 	 gmu96ma2 
273 	 Q0 	  AP881208-0191 	  606 	 0.030800 	 gmu96ma2 
273 	 Q0 	  ZF207-890-926 	  607 	 0.030800 	 gmu96ma2 
273 	 Q0 	  AP880930-0013 	  608 	 0.030700 	 gmu96ma2 
273 	 Q0 	    FT944-16340 	  609 	 0.030600 	 gmu96ma2 
273 	 Q0 	  ZF207-217-230 	  610 	 0.030600 	 gmu96ma2 
273 	 Q0 	     CR93H-1160 	  611 	 0.030400 	 gmu96ma2 
273 	 Q0 	  AP881210-0055 	  612 	 0.030400 	 gmu96ma2 
273 	 Q0 	  AP881212-0009 	  613 	 0.030400 	 gmu96ma2 
273 	 Q0 	  ZF208-219-209 	  614 	 0.030400 	 gmu96ma2 
273 	 Q0 	  AP881209-0081 	  615 	 0.030200 	 gmu96ma2 
273 	 Q0 	  AP880826-0234 	  616 	 0.030000 	 gmu96ma2 
273 	 Q0 	  ZF207-820-364 	  617 	 0.029900 	 gmu96ma2 
273 	 Q0 	 WSJ900731-0008 	  618 	 0.029900 	 gmu96ma2 
273 	 Q0 	  AP880519-0198 	  619 	 0.029800 	 gmu96ma2 
273 	 Q0 	  ZF208-219-677 	  620 	 0.029500 	 gmu96ma2 
273 	 Q0 	  ZF207-772-770 	  621 	 0.029500 	 gmu96ma2 
273 	 Q0 	     FT911-3538 	  622 	 0.029400 	 gmu96ma2 
273 	 Q0 	  ZF207-726-494 	  623 	 0.029300 	 gmu96ma2 
273 	 Q0 	  AP880628-0045 	  624 	 0.029300 	 gmu96ma2 
273 	 Q0 	  ZF207-849-298 	  625 	 0.029200 	 gmu96ma2 
273 	 Q0 	  AP881219-0054 	  626 	 0.029100 	 gmu96ma2 
273 	 Q0 	  AP881208-0160 	  627 	 0.029100 	 gmu96ma2 
273 	 Q0 	  ZF207-827-914 	  628 	 0.029000 	 gmu96ma2 
273 	 Q0 	  AP881212-0063 	  629 	 0.029000 	 gmu96ma2 
273 	 Q0 	  ZF208-219-963 	  630 	 0.029000 	 gmu96ma2 
273 	 Q0 	  AP880823-0127 	  631 	 0.029000 	 gmu96ma2 
273 	 Q0 	    FT924-13548 	  632 	 0.028900 	 gmu96ma2 
273 	 Q0 	  ZF207-841-698 	  633 	 0.028800 	 gmu96ma2 
273 	 Q0 	  AP881213-0007 	  634 	 0.028700 	 gmu96ma2 
273 	 Q0 	  AP880411-0178 	  635 	 0.028700 	 gmu96ma2 
273 	 Q0 	      CR93H-143 	  636 	 0.028600 	 gmu96ma2 
273 	 Q0 	 WSJ910410-0066 	  637 	 0.028500 	 gmu96ma2 
273 	 Q0 	  AP881223-0135 	  638 	 0.028500 	 gmu96ma2 
273 	 Q0 	    FT941-14552 	  639 	 0.028400 	 gmu96ma2 
273 	 Q0 	    FT942-12224 	  640 	 0.028400 	 gmu96ma2 
273 	 Q0 	     FT941-9011 	  641 	 0.028300 	 gmu96ma2 
273 	 Q0 	    FT932-16711 	  642 	 0.028200 	 gmu96ma2 
273 	 Q0 	  AP881219-0014 	  643 	 0.028200 	 gmu96ma2 
273 	 Q0 	      CR93H-684 	  644 	 0.028200 	 gmu96ma2 
273 	 Q0 	  AP881214-0136 	  645 	 0.028100 	 gmu96ma2 
273 	 Q0 	    FT944-14678 	  646 	 0.028000 	 gmu96ma2 
273 	 Q0 	  ZF207-907-766 	  647 	 0.028000 	 gmu96ma2 
273 	 Q0 	  AP881220-0145 	  648 	 0.027900 	 gmu96ma2 
273 	 Q0 	  AP881216-0198 	  649 	 0.027800 	 gmu96ma2 
273 	 Q0 	  AP881210-0104 	  650 	 0.027800 	 gmu96ma2 
273 	 Q0 	  ZF207-819-266 	  651 	 0.027800 	 gmu96ma2 
273 	 Q0 	    FT941-12344 	  652 	 0.027800 	 gmu96ma2 
273 	 Q0 	  AP881210-0025 	  653 	 0.027800 	 gmu96ma2 
273 	 Q0 	  AP881208-0157 	  654 	 0.027700 	 gmu96ma2 
273 	 Q0 	    FT943-10001 	  655 	 0.027500 	 gmu96ma2 
273 	 Q0 	  ZF207-865-308 	  656 	 0.027500 	 gmu96ma2 
273 	 Q0 	  AP880810-0176 	  657 	 0.027500 	 gmu96ma2 
273 	 Q0 	     FT941-6288 	  658 	 0.027500 	 gmu96ma2 
273 	 Q0 	   FR88922-0039 	  659 	 0.027400 	 gmu96ma2 
273 	 Q0 	    FT942-12712 	  660 	 0.027400 	 gmu96ma2 
273 	 Q0 	  AP881212-0045 	  661 	 0.027300 	 gmu96ma2 
273 	 Q0 	  ZF207-820-450 	  662 	 0.027200 	 gmu96ma2 
273 	 Q0 	  AP881218-0039 	  663 	 0.027100 	 gmu96ma2 
273 	 Q0 	 WSJ910822-0051 	  664 	 0.027100 	 gmu96ma2 
273 	 Q0 	  AP881211-0053 	  665 	 0.027100 	 gmu96ma2 
273 	 Q0 	  FR881128-0096 	  666 	 0.027000 	 gmu96ma2 
273 	 Q0 	  AP881208-0307 	  667 	 0.027000 	 gmu96ma2 
273 	 Q0 	  AP881210-0060 	  668 	 0.027000 	 gmu96ma2 
273 	 Q0 	 WSJ910422-0009 	  669 	 0.026900 	 gmu96ma2 
273 	 Q0 	  AP881209-0106 	  670 	 0.026900 	 gmu96ma2 
273 	 Q0 	  ZF207-787-274 	  671 	 0.026900 	 gmu96ma2 
273 	 Q0 	     FT923-1456 	  672 	 0.026700 	 gmu96ma2 
273 	 Q0 	 WSJ911024-0023 	  673 	 0.026600 	 gmu96ma2 
273 	 Q0 	     FT942-9847 	  674 	 0.026500 	 gmu96ma2 
273 	 Q0 	     FT911-3298 	  675 	 0.026300 	 gmu96ma2 
273 	 Q0 	    FT932-13693 	  676 	 0.026200 	 gmu96ma2 
273 	 Q0 	    FT934-16814 	  677 	 0.026200 	 gmu96ma2 
273 	 Q0 	     FT921-9929 	  678 	 0.026200 	 gmu96ma2 
273 	 Q0 	     CR93E-2496 	  679 	 0.026100 	 gmu96ma2 
273 	 Q0 	    CR93H-16179 	  680 	 0.026100 	 gmu96ma2 
273 	 Q0 	     FT941-8609 	  681 	 0.026100 	 gmu96ma2 
273 	 Q0 	  AP880311-0166 	  682 	 0.026000 	 gmu96ma2 
273 	 Q0 	    FT924-12760 	  683 	 0.026000 	 gmu96ma2 
273 	 Q0 	  ZF207-224-260 	  684 	 0.026000 	 gmu96ma2 
273 	 Q0 	  AP881208-0001 	  685 	 0.025900 	 gmu96ma2 
273 	 Q0 	    FT923-12937 	  686 	 0.025900 	 gmu96ma2 
273 	 Q0 	  AP880824-0098 	  687 	 0.025800 	 gmu96ma2 
273 	 Q0 	  AP881208-0180 	  688 	 0.025800 	 gmu96ma2 
273 	 Q0 	  ZF207-681-622 	  689 	 0.025800 	 gmu96ma2 
